日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,status
2018-03-01,859927.0,3297706395.0,3710.0,3920.0,3700.0,3900.0,205.0,"1,059",0
2018-03-02,513175.0,1982831092.0,3850.0,3900.0,3835.0,3870.0,-30.0,589,0
2018-03-05,717682.0,2674892720.0,3860.0,3860.0,3675.0,3700.0,-170.0,920,-1
2018-03-06,1081391.0,3997475330.0,3715.0,3750.0,3655.0,3655.0,-45.0,"1,302",0
2018-03-07,725611.0,2638466458.0,3620.0,3690.0,3600.0,3690.0,35.0,988,0
2018-03-08,436676.0,1622951340.0,3700.0,3760.0,3685.0,3715.0,25.0,583,0
2018-03-09,633785.0,2412122250.0,3790.0,3860.0,3750.0,3860.0,145.0,824,1
2018-03-12,766482.0,3051251460.0,3995.0,4015.0,3940.0,3955.0,95.0,893,1
2018-03-13,759652.0,3068243560.0,4015.0,4085.0,4010.0,4045.0,90.0,"1,000",0
2018-03-14,572843.0,2286694455.0,4000.0,4035.0,3960.0,3960.0,-85.0,634,0
2018-03-15,810527.0,3113118680.0,3870.0,3895.0,3785.0,3785.0,-175.0,895,-1
2018-03-16,902428.0,3360500000.0,3805.0,3840.0,3690.0,3690.0,-95.0,973,-1
2018-03-19,560452.0,2069900480.0,3710.0,3720.0,3655.0,3710.0,20.0,667,0
2018-03-20,1387237.0,4983715761.0,3650.0,3670.0,3550.0,3555.0,-155.0,"1,533",-1
2018-03-21,745528.0,2720340680.0,3610.0,3695.0,3605.0,3650.0,95.0,893,0
2018-03-22,966628.0,3534418360.0,3705.0,3760.0,3570.0,3595.0,-55.0,"1,123",0
2018-03-23,1011553.0,3483692850.0,3450.0,3510.0,3400.0,3400.0,-195.0,"1,548",-1
2018-03-26,669053.0,2324017090.0,3410.0,3510.0,3410.0,3500.0,100.0,846,0
2018-03-27,757064.0,2655215800.0,3580.0,3600.0,3420.0,3420.0,-80.0,"1,165",0
2018-03-28,921614.0,3096259290.0,3345.0,3405.0,3315.0,3365.0,-55.0,"1,222",0
2018-03-29,570705.0,1913818225.0,3415.0,3415.0,3315.0,3315.0,-50.0,969,0
2018-03-30,498897.0,1674084950.0,3365.0,3390.0,3330.0,3330.0,15.0,793,0
2018-03-31,119514.0,399137180.0,3350.0,3365.0,3315.0,3350.0,20.0,241,0
2018-04-02,590894.0,1925090270.0,3330.0,3385.0,3180.0,3185.0,-165.0,"1,017",-1
2018-04-03,1715284.0,5309217380.0,3065.0,3195.0,3005.0,3185.0,0.0,"1,975",0
2018-04-09,1242694.0,3845847900.0,3140.0,3225.0,3000.0,3000.0,-185.0,"1,467",0
2018-04-10,1372490.0,4328857822.0,3005.0,3250.0,3000.0,3250.0,250.0,"1,657",0
2018-04-11,678815.0,2217879675.0,3340.0,3350.0,3210.0,3230.0,-20.0,885,0
2018-04-12,576497.0,1891822555.0,3270.0,3345.0,3215.0,3300.0,70.0,705,0
2018-04-13,2397756.0,8101711560.0,3380.0,3525.0,3230.0,3460.0,160.0,"2,417",1
2018-04-16,1122984.0,3929109847.0,3430.0,3575.0,3390.0,3550.0,90.0,"1,358",0
2018-04-17,1239636.0,4423469620.0,3525.0,3645.0,3475.0,3580.0,30.0,"1,379",0
2018-04-18,892212.0,3188327000.0,3540.0,3625.0,3525.0,3525.0,-55.0,"1,090",0
2018-04-19,1033684.0,3607610580.0,3465.0,3515.0,3455.0,3490.0,-35.0,"1,050",0
2018-04-20,951800.0,3261609000.0,3410.0,3455.0,3370.0,3420.0,-70.0,987,0
2018-04-23,898004.0,2984920599.0,3420.0,3450.0,3255.0,3255.0,-165.0,"1,015",-1
2018-04-24,845864.0,2761095720.0,3270.0,3315.0,3220.0,3220.0,-35.0,"1,048",0
2018-04-25,493376.0,1609973880.0,3225.0,3310.0,3225.0,3250.0,30.0,631,0
2018-04-26,570742.0,1890605300.0,3280.0,3350.0,3280.0,3295.0,45.0,670,0
2018-04-27,612516.0,2019168600.0,3340.0,3370.0,3240.0,3265.0,-30.0,631,0
2018-04-30,670461.0,2284902755.0,3300.0,3500.0,3270.0,3480.0,215.0,833,1
2018-05-02,1491716.0,5459039880.0,3560.0,3720.0,3535.0,3700.0,220.0,"1,734",1
2018-05-03,1483874.0,5581073840.0,3800.0,3830.0,3680.0,3685.0,-15.0,"1,516",0
2018-05-04,686563.0,2513914950.0,3685.0,3735.0,3630.0,3640.0,-45.0,880,0
2018-05-07,1899026.0,7511629000.0,3870.0,4000.0,3870.0,4000.0,360.0,"2,157",1
2018-05-08,855783.0,3434904925.0,4020.0,4070.0,3975.0,3990.0,-10.0,"1,040",0
2018-05-09,1059845.0,4322138920.0,4065.0,4165.0,3990.0,4000.0,10.0,"1,337",0
2018-05-10,557109.0,2243559910.0,4090.0,4095.0,3980.0,3980.0,-20.0,715,0
2018-05-11,766464.0,3109617840.0,4025.0,4080.0,4000.0,4075.0,95.0,991,0
2018-05-14,779217.0,3239253145.0,4130.0,4205.0,4090.0,4205.0,130.0,"1,026",1
2018-05-15,882871.0,3669686100.0,4240.0,4240.0,4090.0,4090.0,-115.0,"1,083",0
2018-05-16,405301.0,1649971550.0,4040.0,4120.0,4020.0,4050.0,-40.0,573,0
2018-05-17,564427.0,2248543110.0,4080.0,4105.0,3920.0,3920.0,-130.0,721,-1
2018-05-18,804942.0,3250554770.0,4020.0,4095.0,3970.0,4010.0,90.0,903,0
2018-05-21,512425.0,2074123960.0,4050.0,4080.0,4010.0,4040.0,30.0,618,0
2018-05-22,450305.0,1801300000.0,4040.0,4055.0,3970.0,3980.0,-60.0,525,0
2018-05-23,491219.0,1937040806.0,3980.0,4005.0,3915.0,3920.0,-60.0,634,0
2018-05-24,611096.0,2443799000.0,3965.0,4025.0,3935.0,4000.0,80.0,757,0
2018-05-25,366263.0,1464125685.0,4000.0,4025.0,3980.0,3995.0,-5.0,444,0
2018-05-28,818287.0,3342747395.0,4035.0,4125.0,4025.0,4085.0,90.0,951,0
2018-05-29,899649.0,3789898780.0,4165.0,4270.0,4120.0,4255.0,170.0,"1,056",1
2018-05-30,654770.0,2755664120.0,4205.0,4260.0,4180.0,4200.0,-55.0,844,0
2018-05-31,1329714.0,5492277400.0,4230.0,4250.0,4030.0,4100.0,-100.0,"1,134",0
2018-06-01,671207.0,2831931645.0,4110.0,4270.0,4110.0,4245.0,145.0,839,0
2018-06-04,942753.0,4145301080.0,4280.0,4460.0,4280.0,4415.0,170.0,"1,057",1
2018-06-05,839084.0,3736416280.0,4420.0,4520.0,4355.0,4450.0,35.0,"1,026",0
2018-06-06,1456824.0,6749211280.0,4690.0,4690.0,4550.0,4625.0,175.0,"1,650",1
2018-06-07,627495.0,2899207000.0,4650.0,4680.0,4575.0,4645.0,20.0,857,0
2018-06-08,749223.0,3482591035.0,4650.0,4745.0,4545.0,4545.0,-100.0,952,0
2018-06-11,634395.0,2866398950.0,4550.0,4590.0,4450.0,4550.0,5.0,770,0
2018-06-12,456758.0,2052455520.0,4580.0,4580.0,4440.0,4440.0,-110.0,710,0
2018-06-13,983333.0,4601663430.0,4665.0,4735.0,4580.0,4730.0,290.0,"1,302",1
2018-06-14,658412.0,3054071940.0,4680.0,4685.0,4620.0,4620.0,-110.0,792,0
2018-06-15,528817.0,2430807840.0,4635.0,4655.0,4560.0,4590.0,-30.0,621,0
2018-06-19,1081867.0,4783119455.0,4505.0,4520.0,4350.0,4350.0,-240.0,"1,307",-1
2018-06-20,796549.0,3496693835.0,4360.0,4440.0,4315.0,4405.0,55.0,895,0
2018-06-21,549829.0,2478036355.0,4445.0,4560.0,4440.0,4495.0,90.0,667,0
2018-06-22,867842.0,3791678740.0,4445.0,4445.0,4290.0,4370.0,-125.0,790,0
2018-06-25,335841.0,1478869040.0,4315.0,4440.0,4315.0,4440.0,70.0,457,0
2018-06-26,406554.0,1816648540.0,4395.0,4525.0,4360.0,4525.0,85.0,537,0
2018-06-27,643373.0,2873691820.0,4550.0,4615.0,4360.0,4360.0,-165.0,727,0
2018-06-28,622215.0,2725689550.0,4320.0,4465.0,4310.0,4360.0,0.0,681,0
2018-06-29,360292.0,1605851080.0,4440.0,4490.0,4405.0,4490.0,130.0,455,0
2018-07-02,525478.0,2403694900.0,4500.0,4610.0,4480.0,4560.0,70.0,578,0
2018-07-03,539739.0,2447442890.0,4600.0,4640.0,4485.0,4530.0,-30.0,628,0
2018-07-04,304937.0,1370357860.0,4525.0,4570.0,4435.0,4450.0,-80.0,394,0
2018-07-05,434907.0,1970169640.0,4510.0,4580.0,4470.0,4540.0,90.0,525,0
2018-07-06,637544.0,2932983914.0,4610.0,4635.0,4545.0,4605.0,65.0,707,0
2018-07-09,1137293.0,5492191305.0,4680.0,4985.0,4655.0,4920.0,315.0,"1,309",1
2018-07-10,682302.0,3335783660.0,4980.0,4980.0,4830.0,4840.0,-80.0,892,0
2018-07-11,644485.0,3085188000.0,4765.0,4840.0,4730.0,4800.0,-40.0,800,0
2018-07-12,904090.0,4480606900.0,4875.0,5005.0,4875.0,4930.0,130.0,"1,101",0
2018-07-13,1192062.0,5977869738.0,5075.0,5075.0,4920.0,5040.0,110.0,"1,322",0
2018-07-16,700417.0,3557823340.0,5090.0,5130.0,5030.0,5040.0,0.0,812,0
2018-07-17,412335.0,2068838300.0,5030.0,5080.0,4960.0,4995.0,-45.0,556,0
2018-07-18,414744.0,2081967560.0,5020.0,5065.0,4990.0,5020.0,25.0,485,0
2018-07-19,640947.0,3271663145.0,5055.0,5170.0,5035.0,5055.0,35.0,746,0
2018-07-20,1367805.0,7135030740.0,5110.0,5295.0,5090.0,5270.0,215.0,"1,553",0
2018-07-23,522951.0,2718671425.0,5240.0,5260.0,5150.0,5175.0,-95.0,772,0
2018-07-24,459964.0,2382247800.0,5195.0,5240.0,5085.0,5200.0,25.0,702,0
2018-07-25,359853.0,1872224130.0,5175.0,5225.0,5150.0,5225.0,25.0,500,0
2018-07-26,296820.0,1541806200.0,5260.0,5260.0,5155.0,5200.0,-25.0,400,0
2018-07-27,265278.0,1388016160.0,5200.0,5265.0,5175.0,5260.0,60.0,385,0
2018-07-30,433942.0,2252957137.0,5220.0,5235.0,5165.0,5180.0,-80.0,505,0
2018-07-31,454658.0,2338007250.0,5150.0,5175.0,5090.0,5150.0,-30.0,534,0
2018-08-01,865500.0,4456960000.0,5240.0,5330.0,5040.0,5050.0,-100.00,"1,054",0
2018-08-02,624131.0,3141130655.0,5080.0,5140.0,4995.0,5005.0,-45.00,755,0
2018-08-03,429517.0,2195507040.0,5090.0,5135.0,5080.0,5130.0,+125.00,521,0
2018-08-06,494266.0,2546884900.0,5180.0,5240.0,5115.0,5130.0, 0.00,558,0
2018-08-07,446359.0,2244237885.0,5135.0,5135.0,4990.0,5015.0,-115.00,654,0
2018-08-08,476462.0,2415789050.0,5035.0,5125.0,5015.0,5060.0,+45.00,491,0
2018-08-09,227830.0,1155428100.0,5025.0,5100.0,4995.0,5100.0,+40.00,296,0
2018-08-10,203280.0,1032288200.0,5110.0,5110.0,5060.0,5080.0,-20.00,270,0
2018-08-13,1185999.0,5647910345.0,5070.0,5070.0,4575.0,4630.0,-450.00,"1,400",-1
2018-08-14,938678.0,4352027700.0,4715.0,4760.0,4500.0,4630.0, 0.00,"1,117",0
2018-08-15,1417300.0,6334512000.0,4600.0,4600.0,4400.0,4455.0,-175.00,"1,544",0
2018-08-16,831517.0,3758674765.0,4355.0,4630.0,4350.0,4520.0,X0.00,943,0
2018-08-17,475958.0,2162029100.0,4505.0,4650.0,4430.0,4430.0,-90.00,642,0
2018-08-20,398017.0,1803574730.0,4450.0,4590.0,4450.0,4590.0,+160.00,472,0
2018-08-21,659276.0,3080002720.0,4595.0,4730.0,4535.0,4700.0,+110.00,759,1
2018-08-22,567746.0,2617934380.0,4695.0,4715.0,4490.0,4490.0,-210.00,732,0
2018-08-23,507316.0,2284542500.0,4540.0,4560.0,4455.0,4485.0,-5.00,634,0
2018-08-24,323162.0,1451132910.0,4470.0,4515.0,4465.0,4505.0,+20.00,358,0
2018-08-27,318162.0,1458132490.0,4575.0,4615.0,4530.0,4615.0,+110.00,392,1
2018-08-28,666352.0,3161645240.0,4715.0,4790.0,4695.0,4765.0,+150.00,787,1
2018-08-29,363938.0,1741684880.0,4780.0,4840.0,4735.0,4760.0,-5.00,447,0
2018-08-30,306277.0,1458774600.0,4815.0,4830.0,4710.0,4745.0,-15.00,352,0
2018-08-31,355451.0,1666108720.0,4735.0,4740.0,4645.0,4705.0,-40.00,390,0
2018-09-03,493244.0,2325329000.0,4755.0,4800.0,4640.0,4690.0,-15.0,529,0
2018-09-04,685334.0,3314638260.0,4845.0,4890.0,4770.0,4890.0,200.0,857,0
2018-09-05,612348.0,3003785200.0,4900.0,4945.0,4870.0,4890.0,0.0,693,0
2018-09-06,1055262.0,4874064850.0,4645.0,4695.0,4515.0,4640.0,-250.0,"1,190",-1
2018-09-07,647914.0,3023486500.0,4600.0,4730.0,4580.0,4730.0,90.0,729,0
2018-09-10,1087919.0,4857063820.0,4680.0,4725.0,4305.0,4360.0,-370.0,"1,117",-1
2018-09-11,759724.0,3339871980.0,4370.0,4490.0,4330.0,4340.0,-20.0,937,0
2018-09-12,1169971.0,4927396750.0,4380.0,4380.0,4070.0,4210.0,-130.0,"1,454",-1
2018-09-13,1284091.0,5332812089.0,4210.0,4265.0,4055.0,4110.0,-100.0,"1,519",0
2018-09-14,959762.0,4155784341.0,4315.0,4405.0,4240.0,4405.0,295.0,"1,119",1
2018-09-17,567665.0,2456418534.0,4410.0,4410.0,4285.0,4285.0,-120.0,709,0
2018-09-18,2020422.0,7976401370.0,4200.0,4200.0,3860.0,3860.0,-425.0,"2,083",-1
2018-09-19,1252697.0,4846313300.0,3865.0,3910.0,3810.0,3865.0,5.0,"1,625",0
2018-09-20,1361765.0,5264324950.0,3900.0,3945.0,3770.0,3800.0,-65.0,"1,822",0
2018-09-21,2459648.0,8873002200.0,3595.0,3870.0,3425.0,3870.0,70.0,"2,506",0
2018-09-25,965647.0,3612169190.0,3760.0,3810.0,3680.0,3730.0,-140.0,"1,170",0
2018-09-26,473929.0,1779791265.0,3755.0,3785.0,3705.0,3770.0,40.0,678,0
2018-09-27,741174.0,2816637720.0,3720.0,3895.0,3680.0,3780.0,10.0,"1,080",0
2018-09-28,891072.0,3327889960.0,3825.0,3880.0,3630.0,3635.0,-145.0,"1,198",0
2018-10-01,561901.0,2093382760.0,3700.0,3775.0,3670.0,3740.0,105.0,687,0
2018-10-02,449512.0,1693195600.0,3765.0,3790.0,3725.0,3790.0,50.0,581,0
2018-10-03,515223.0,1945556250.0,3805.0,3835.0,3680.0,3720.0,-70.0,682,0
2018-10-04,624034.0,2311366480.0,3690.0,3750.0,3660.0,3710.0,-10.0,798,0
2018-10-05,1279971.0,4525449660.0,3680.0,3700.0,3440.0,3440.0,-270.0,"1,944",-1
2018-10-08,942987.0,3304663915.0,3455.0,3600.0,3450.0,3510.0,70.0,"1,027",0
2018-10-09,674056.0,2406776040.0,3530.0,3600.0,3520.0,3590.0,80.0,961,0
2018-10-11,1440690.0,4728118600.0,3400.0,3400.0,3235.0,3235.0,-355.0,"1,433",-1
2018-10-12,1596023.0,5420741765.0,3275.0,3555.0,3205.0,3555.0,320.0,"1,602",1
2018-10-15,932391.0,3269291320.0,3455.0,3600.0,3420.0,3480.0,-75.0,"1,042",0
2018-10-16,953490.0,3223866600.0,3450.0,3480.0,3280.0,3330.0,-150.0,"1,444",-1
2018-10-17,788727.0,2675953180.0,3460.0,3485.0,3325.0,3330.0,0.0,"1,055",0
2018-10-18,612162.0,2047559460.0,3350.0,3415.0,3295.0,3315.0,-15.0,816,0
2018-10-19,948006.0,3147465842.0,3290.0,3415.0,3210.0,3415.0,100.0,"1,098",0
2018-10-22,754466.0,2582256000.0,3360.0,3510.0,3325.0,3505.0,90.0,887,1
2018-10-23,695950.0,2357887750.0,3445.0,3485.0,3320.0,3335.0,-170.0,946,0
2018-10-24,669785.0,2274199000.0,3380.0,3430.0,3360.0,3385.0,50.0,727,0
2018-10-25,1019830.0,3324215700.0,3235.0,3310.0,3210.0,3290.0,-95.0,"1,316",-1
2018-10-26,789165.0,2596581300.0,3370.0,3395.0,3210.0,3210.0,-80.0,"1,021",0
2018-10-29,723412.0,2336477540.0,3250.0,3295.0,3120.0,3295.0,85.0,836,0
2018-10-30,773415.0,2487330450.0,3285.0,3295.0,3165.0,3165.0,-130.0,863,0
2018-10-31,902351.0,2981333966.0,3245.0,3350.0,3240.0,3350.0,185.0,946,0
2018-11-01,971012.0,3270360200.0,3340.0,3445.0,3310.0,3335.0,-15.0,"1,033",0
2018-11-02,1714555.0,5868773600.0,3235.0,3540.0,3235.0,3525.0,190.0,"1,812",1
2018-11-05,619281.0,2128030235.0,3485.0,3500.0,3390.0,3435.0,-90.0,747,0
2018-11-06,1182750.0,3874353750.0,3390.0,3425.0,3180.0,3220.0,-215.0,"1,449",-1
2018-11-07,952439.0,3092750600.0,3250.0,3310.0,3160.0,3280.0,60.0,"1,046",0
2018-11-08,713804.0,2345054080.0,3380.0,3395.0,3200.0,3200.0,-80.0,749,0
2018-11-09,1178637.0,3674820625.0,3200.0,3230.0,3040.0,3080.0,-120.0,"1,348",-1
2018-11-12,1013855.0,3118103400.0,3055.0,3150.0,3020.0,3050.0,-30.0,"1,177",0
2018-11-13,1439956.0,4357955680.0,2925.0,3200.0,2875.0,3200.0,150.0,"1,430",0
2018-11-14,697083.0,2207292160.0,3180.0,3205.0,3130.0,3190.0,-10.0,767,0
2018-11-15,823588.0,2561651320.0,3190.0,3190.0,3055.0,3095.0,-95.0,927,0
2018-11-16,713709.0,2251769170.0,3160.0,3210.0,3115.0,3130.0,35.0,972,0
2018-11-19,605836.0,1940230300.0,3135.0,3235.0,3135.0,3235.0,105.0,674,0
2018-11-20,778367.0,2521668255.0,3190.0,3315.0,3155.0,3315.0,80.0,848,1
2018-11-21,888687.0,2931489275.0,3275.0,3345.0,3240.0,3345.0,30.0,965,0
2018-11-22,822283.0,2775915030.0,3350.0,3445.0,3265.0,3275.0,-70.0,888,0
2018-11-23,602612.0,1987925720.0,3330.0,3335.0,3260.0,3310.0,35.0,682,0
2018-11-26,572845.0,1947500250.0,3345.0,3450.0,3330.0,3450.0,140.0,711,1
2018-11-27,799142.0,2765467000.0,3400.0,3510.0,3370.0,3485.0,35.0,887,0
2018-11-28,540021.0,1872547975.0,3490.0,3500.0,3435.0,3475.0,-10.0,639,0
2018-11-29,944002.0,3374756820.0,3625.0,3630.0,3515.0,3515.0,40.0,"1,008",0
2018-11-30,743065.0,2540789050.0,3505.0,3505.0,3365.0,3370.0,-145.0,929,-1
2018-12-03,1642048.0,5927592120.0,3475.0,3705.0,3475.0,3705.0,335.0,"1,648",1
2018-12-04,1129442.0,4043907000.0,3660.0,3680.0,3500.0,3500.0,-205.0,"1,222",0
2018-12-05,846315.0,2856650450.0,3395.0,3415.0,3325.0,3370.0,-130.0,879,-1
2018-12-06,1874842.0,5811928360.0,3150.0,3200.0,3035.0,3035.0,-335.0,"2,012",-1
2018-12-07,1248081.0,3893600150.0,3075.0,3175.0,3050.0,3100.0,65.0,"1,326",0
2018-12-10,887891.0,2691514825.0,3030.0,3065.0,2970.0,3055.0,-45.0,"1,084",0
2018-12-11,904924.0,2862162940.0,3090.0,3235.0,3090.0,3175.0,120.0,"1,020",1
2018-12-12,757608.0,2506418760.0,3250.0,3350.0,3245.0,3345.0,170.0,899,1
2018-12-13,834916.0,2774437760.0,3355.0,3405.0,3250.0,3320.0,-25.0,875,0
2018-12-14,445393.0,1450299040.0,3270.0,3300.0,3235.0,3260.0,-60.0,521,0
2018-12-17,547769.0,1807856545.0,3280.0,3345.0,3210.0,3300.0,40.0,614,0
2018-12-18,438812.0,1436494300.0,3230.0,3330.0,3230.0,3250.0,-50.0,488,0
2018-12-19,428366.0,1416289140.0,3300.0,3325.0,3265.0,3320.0,70.0,492,0
2018-12-20,497574.0,1623563020.0,3265.0,3320.0,3210.0,3225.0,-95.0,614,0
2018-12-21,944311.0,3015994195.0,3180.0,3270.0,3090.0,3270.0,45.0,983,0
2018-12-22,168597.0,545400250.0,3220.0,3265.0,3185.0,3240.0,-30.0,220,0
2018-12-24,274359.0,895028930.0,3255.0,3285.0,3240.0,3270.0,30.0,346,0
2018-12-25,347709.0,1106170255.0,3165.0,3205.0,3160.0,3165.0,-105.0,433,-1
2018-12-26,320010.0,1015811600.0,3200.0,3230.0,3115.0,3125.0,-40.0,405,0
2018-12-27,675246.0,2155269900.0,3220.0,3240.0,3135.0,3135.0,10.0,738,0
2018-12-28,590895.0,1873491900.0,3190.0,3215.0,3125.0,3215.0,80.0,624,0
2019-01-02,941895.0,2950409500.0,3240.0,3280.0,3060.0,3060.0,-155.0,"1,031",-1
2019-01-03,1122574.0,3382701440.0,3000.0,3050.0,2960.0,3030.0,-30.0,"1,246",0
2019-01-04,1203571.0,3524395885.0,2965.0,2990.0,2880.0,2905.0,-125.0,"1,545",0
2019-01-07,1306020.0,4024647400.0,3015.0,3165.0,3015.0,3105.0,200.0,"1,361",1
2019-01-08,622739.0,1949478925.0,3125.0,3160.0,3080.0,3145.0,40.0,670,0
2019-01-09,1444358.0,4722368190.0,3155.0,3360.0,3155.0,3335.0,190.0,"1,591",1
2019-01-10,496274.0,1630214200.0,3285.0,3315.0,3250.0,3280.0,-55.0,588,0
2019-01-11,1523523.0,5371256091.0,3480.0,3600.0,3435.0,3550.0,270.0,"1,602",1
2019-01-14,766663.0,2743468760.0,3530.0,3620.0,3500.0,3570.0,20.0,882,0
2019-01-15,713521.0,2528302365.0,3520.0,3600.0,3485.0,3600.0,30.0,956,0
2019-01-16,580821.0,2089479550.0,3625.0,3655.0,3555.0,3570.0,-30.0,674,0
2019-01-17,403192.0,1441635840.0,3615.0,3635.0,3540.0,3540.0,-30.0,489,0
2019-01-18,1210812.0,4456317480.0,3565.0,3790.0,3530.0,3785.0,245.0,"1,629",1
2019-01-21,821863.0,3118985360.0,3850.0,3870.0,3715.0,3720.0,-65.0,983,0
2019-01-22,371296.0,1384970000.0,3720.0,3760.0,3660.0,3750.0,30.0,498,0
2019-01-23,450397.0,1675985885.0,3700.0,3770.0,3680.0,3710.0,-40.0,542,0
2019-01-24,749910.0,2833512500.0,3730.0,3845.0,3725.0,3725.0,15.0,829,0
2019-01-25,633354.0,2383281570.0,3790.0,3805.0,3725.0,3740.0,15.0,703,0
2019-01-28,426534.0,1594675070.0,3740.0,3765.0,3715.0,3720.0,-20.0,491,0
2019-01-29,432501.0,1609748750.0,3680.0,3780.0,3665.0,3780.0,60.0,517,0
2019-01-30,510753.0,1938681340.0,3805.0,3825.0,3765.0,3780.0,0.0,656,0
2019-01-02,941895.0,2950409500.0,3240.0,3280.0,3060.0,3060.0,-155.0,"1,031",-1
2019-01-03,1122574.0,3382701440.0,3000.0,3050.0,2960.0,3030.0,-30.0,"1,246",0
2019-01-04,1203571.0,3524395885.0,2965.0,2990.0,2880.0,2905.0,-125.0,"1,545",0
2019-01-07,1306020.0,4024647400.0,3015.0,3165.0,3015.0,3105.0,200.0,"1,361",1
2019-01-08,622739.0,1949478925.0,3125.0,3160.0,3080.0,3145.0,40.0,670,0
2019-01-09,1444358.0,4722368190.0,3155.0,3360.0,3155.0,3335.0,190.0,"1,591",1
2019-01-10,496274.0,1630214200.0,3285.0,3315.0,3250.0,3280.0,-55.0,588,0
2019-01-11,1523523.0,5371256091.0,3480.0,3600.0,3435.0,3550.0,270.0,"1,602",1
2019-01-14,766663.0,2743468760.0,3530.0,3620.0,3500.0,3570.0,20.0,882,0
2019-01-15,713521.0,2528302365.0,3520.0,3600.0,3485.0,3600.0,30.0,956,0
2019-01-16,580821.0,2089479550.0,3625.0,3655.0,3555.0,3570.0,-30.0,674,0
2019-01-17,403192.0,1441635840.0,3615.0,3635.0,3540.0,3540.0,-30.0,489,0
2019-01-18,1210812.0,4456317480.0,3565.0,3790.0,3530.0,3785.0,245.0,"1,629",1
2019-01-21,821863.0,3118985360.0,3850.0,3870.0,3715.0,3720.0,-65.0,983,0
2019-01-22,371296.0,1384970000.0,3720.0,3760.0,3660.0,3750.0,30.0,498,0
2019-01-23,450397.0,1675985885.0,3700.0,3770.0,3680.0,3710.0,-40.0,542,0
2019-01-24,749910.0,2833512500.0,3730.0,3845.0,3725.0,3725.0,15.0,829,0
2019-01-25,633354.0,2383281570.0,3790.0,3805.0,3725.0,3740.0,15.0,703,0
2019-01-28,426534.0,1594675070.0,3740.0,3765.0,3715.0,3720.0,-20.0,491,0
2019-01-29,432501.0,1609748750.0,3680.0,3780.0,3665.0,3780.0,60.0,517,0
2019-01-30,510753.0,1938681340.0,3805.0,3825.0,3765.0,3780.0,0.0,656,0
2019-01-02,941895.0,2950409500.0,3240.0,3280.0,3060.0,3060.0,-155.0,"1,031",-1
2019-01-03,1122574.0,3382701440.0,3000.0,3050.0,2960.0,3030.0,-30.0,"1,246",0
